"sold_price",".pred"
287500,342104.010062473
172500,179269.70523524
315000,369661.096636737
155000,212257.231603616
149900,66804.8428328862
237000,335456.96703892
222000,230964.541693088
280000,201875.907410987
259900,287681.267944312
325000,383930.430198731
233000,272933.860763963
220000,278699.554456125
306000,340121.04649643
153000,127826.928453086
417250,402985.804263759
187500,171856.370370896
445000,492797.856436258
243033,281684.3779387
256400,281684.3779387
239900,282041.366009393
239000,255440.27471712
240150,255545.562927753
236150,269178.79618711
310000,421403.474237097
201600,202967.42028359
241000,200952.226610289
269900,286056.148455253
245000,285325.724444927
139900,203103.390155765
135000,95490.6883019251
228900,212895.589582924
139000,42170.5377294422
690000,500441.487716145
255000,229400.383173425
271400,283398.245184145
245000,247096.598764531
229900,263946.300041619
276000,271742.960424121
163000,122306.881442564
162000,132428.910661717
212750,183951.138677532
244000,256943.145896485
372500,376907.787155284
182000,156370.014792821
281900,255340.815465014
275000,307748.830311665
165000,123050.832612374
200000,151276.81524915
285900,248136.927330213
347000,336402.185579021
529000,545137.6555872
650000,554236.441263316
480000,380584.621040812
215000,223096.793243135
241000,205250.124585823
250000,212313.787540122
320000,231763.564757792
349900,288441.24296177
350000,364207.751380295
790000,631384.722942148
227000,170519.555203522
472900,492037.364899012
542597,475674.895602248
296500,354326.452432812
139000,123996.17045032
122000,86943.4445445071
180000,172378.610302839
145500,117643.648321277
234000,333051.66733437
176500,189436.340727768
118000,112977.106851951
402500,427476.672686796
171500,187742.101250179
250000,263168.928906574
295000,384334.209330862
419000,434482.897854793
420000,434849.282255688
779993,658765.544253852
156000,106134.516409595
261516,268957.952964378
154900,175286.651804381
128500,211155.415444222
258000,303775.781268782
815277,676793.936757196
239072,268979.367394674
265000,228157.287515674
175000,180135.130048953
197500,261725.648581212
186000,224789.181048074
209900,215736.0932904
231000,242715.369484119
125000,94784.1876496252
383000,518097.164189826
192650,192363.124935984
224900,250275.125038049
209900,223687.766990641
210000,238542.537512209
540000,478141.923847887
180000,185226.31888311
270625,258854.914840727
210010,215439.293152562
207000,241073.933262777
130000,84596.7932030236
299000,381425.704057395
319900,368688.349097705
193900,192891.169964385
271000,320097.403482618
233000,257415.397586004
297000,333320.287298985
193500,174561.007325704
185000,190434.840787069
290000,292478.671355982
202250,222814.160338429
172900,209646.69485225
331000,398607.948110384
425000,471981.774131321
171500,175788.886775597
335000,295047.427315116
730000,621933.217662629
265000,278664.253102399
227900,248003.193572176
179900,251452.264745849
195000,284833.725075852
235000,238228.328617637
314310,369374.835290686
219900,238200.958550221
185000,223699.962309523
227500,211746.516835376
293500,268427.068459625
185000,205433.310813165
307500,382041.206202797
337322,395818.077005193
210000,241982.267757577
270000,232695.617853873
218900,240785.52694086
215000,240412.641421624
194900,191036.419835508
336000,349576.779763589
440000,439279.01063716
755000,476598.755187757
286321,218229.749874075
160501,156116.620035326
130000,87513.4089018568
120000,150865.242315282
199000,210503.671699712
80000,162479.814214915
320000,245386.284718485
799000,523911.246378498
390000,313913.514966362
188000,217182.156568124
246000,266717.880078875
224900,302426.628532924
185000,221388.367128661
153000,232316.576622757
230000,240286.475645328
199900,188265.486582808
162500,215582.047596738
237497,284891.877478076
250000,251823.146685526
202000,259255.189122665
172900,179248.800184723
250000,270683.768940705
270000,336509.551957913
239900,222567.135884917
183000,280780.038266503
275000,278915.223347704
257090,278135.990867966
480000,551847.785691806
246500,292545.802806848
97500,119290.151852995
435000,475809.339723995
215000,231203.147188117
295000,380005.751690154
208500,232668.258527401
175000,186030.433585123
198000,230826.254204584
229500,259093.640554258
